2023-08-30T19:00:00,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:02,3357,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:03,3356,3360,3344,3326,3321,3290,3254,3169,3033,2913 
2023-08-30T19:00:04,3357,3360,3344,3326,3321,3291,3255,3169,3032,2913 
2023-08-30T19:00:05,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:06,3356,3361,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:07,3356,3360,3344,3326,3321,3291,3254,3169,3033,2913 
2023-08-30T19:00:08,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:09,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:10,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:12,3357,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:13,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:14,3356,3360,3344,3326,3320,3291,3254,3169,3033,2913 
2023-08-30T19:00:15,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:16,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:17,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:18,3357,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:19,3357,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:20,3356,3361,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:22,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:23,3356,3361,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:24,3356,3360,3344,3326,3321,3291,3255,3169,3032,2913 
2023-08-30T19:00:25,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:26,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:27,3356,3360,3344,3326,3321,3291,3254,3169,3033,2913 
2023-08-30T19:00:28,3357,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:29,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:30,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:31,3356,3360,3344,3326,3320,3290,3254,3169,3033,2913 
2023-08-30T19:00:33,3357,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:34,3356,3360,3344,3326,3321,3290,3254,3169,3033,2913 
2023-08-30T19:00:35,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:36,3356,3360,3344,3326,3321,3291,3254,3169,3033,2913 
2023-08-30T19:00:37,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:38,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:39,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:40,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:41,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:43,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:44,3357,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:45,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:00:46,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:47,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:48,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:49,3356,3360,3344,3326,3320,3290,3254,3169,3033,2913 
2023-08-30T19:00:50,3357,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:51,3356,3360,3344,3326,3321,3291,3255,3169,3033,2913 
2023-08-30T19:00:53,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:54,3356,3360,3344,3326,3320,3291,3255,3169,3033,2913 
2023-08-30T19:00:55,3356,3360,3344,3326,3320,3290,3254,3169,3032,2913 
2023-08-30T19:00:56,3357,3360,3344,3326,3320,3290,3255,3169,3032,2913 
2023-08-30T19:00:57,3356,3360,3344,3326,3320,3290,3254,3169,3033,2913 
2023-08-30T19:00:58,3356,3360,3344,3326,3320,3290,3255,3169,3033,2913 
2023-08-30T19:00:59,3356,3360,3344,3326,3321,3290,3255,3169,3033,2913 
2023-08-30T19:01:00,3356,3360,3344,3326,3320,3291,3254,3169,3033,2913 
